FECHA;;TOTAL_SEMANAL;,
01-10-2018;;154000;,
08-10-2018;;139300;,
15-10-2018;;229100;,
22-10-2018;;265400;,
29-10-2018;;256250;,
05-11-2018;;292850;,
12-11-2018;;324500;,
19-11-2018;;383800;,
26-11-2018;;381250;,
03-12-2018;;349360;,
10-12-2018;;251800;,
17-12-2018;;320800;,
24-12-2018;;511700;,
31-12-2018;;536540;,
07-01-2019;;490200;,
14-01-2019;;360400;,
21-01-2019;;483900;,
28-01-2019;;469000;,
04-02-2019;;478500;,
11-02-2019;;435000;,
18-02-2019;;344000;,
25-02-2019;;381250;,
04-03-2019;;170000;,
11-03-2019;;368000;,
18-03-2019;;487550;,
25-03-2019;;309150;,
01-04-2019;;330550;,
08-04-2019;;248110;,
15-04-2019;;113050;,
22-04-2019;;273900;,
29-04-2019;;446050;,
06-05-2019;;422050;,
13-05-2019;;305150;,
20-05-2019;;327150;,
27-05-2019;;222000;,
03-06-2019;;237900;,
10-06-2019;;173800;,
17-06-2019;;262200;,
24-06-2019;;147500;,
01-07-2019;;241600;,
08-07-2019;;169100;,
15-07-2019;;187300;,
22-07-2019;;192200;,
29-07-2019;;298300;,
05-08-2019;;356650;,
12-08-2019;;240100;,
19-08-2019;;403450;,
26-08-2019;;576835;,
02-09-2019;;478450;,
09-09-2019;;381800;,
16-09-2019;;242950;,
23-09-2019;;894150;,
30-09-2019;;778190;,
07-10-2019;;336550;,
14-10-2019;;283150;,
21-10-2019;;472600;,
28-10-2019;;524750;,
04-11-2019;;516050;,
11-11-2019;;592700;,
18-11-2019;;752790;,
25-11-2019;;743800;,
02-12-2019;;866939;,
09-12-2019;;806990;,
16-12-2019;;503000;,
23-12-2019;;465300;,
30-12-2019;;295750;,
06-01-2020;;423000;,
13-01-2020;;556600;,
20-01-2020;;399300;,
27-01-2020;;380650;,
03-02-2020;;469400;,
10-02-2020;;322700;,
17-02-2020;;335100;,
24-02-2020;;359550;,
02-03-2020;;423400;,
09-03-2020;;203850;,
16-03-2020;;460700;,
23-03-2020;;74800;,
30-03-2020;;445300;,
06-04-2020;;322950;,
13-04-2020;;607150;,
20-04-2020;;587350;,
27-04-2020;;700900;,
04-05-2020;;571900;,
11-05-2020;;478550;,
18-05-2020;;648000;,
25-05-2020;;729700;,
01-06-2020;;779500;,
08-06-2020;;531300;,
15-06-2020;;414700;,
22-06-2020;;297400;,
29-06-2020;;139900;,
06-07-2020;;304300;,
13-07-2020;;202300;,
20-07-2020;;823150;,
27-07-2020;;551300;,
03-08-2020;;277000;,
10-08-2020;;513500;,
17-08-2020;;1007850;,
24-08-2020;;309550;,
31-08-2020;;619550;,
07-09-2020;;791450;,
14-09-2020;;1184650;,
21-09-2020;;2027500;,
28-09-2020;;1604800;,
05-10-2020;;1961499;,
12-10-2020;;2331850;,
19-10-2020;;2172900;,
26-10-2020;;1728800;,
02-11-2020;;1870500;,
09-11-2020;;2122900;,
16-11-2020;;2342750;,
23-11-2020;;1161100;,
30-11-2020;;1670150;,
07-12-2020;;1530100;,
14-12-2020;;1518400;,
21-12-2020;;603600;,
28-12-2020;;1245400;,
04-01-2021;;1390100;,
11-01-2021;;1778100;,
18-01-2021;;1264600;,
25-01-2021;;899400;,
01-02-2021;;1322500;,
08-02-2021;;1453400;,
15-02-2021;;1435400;,
22-02-2021;;1157100;,
01-03-2021;;1378500;,
08-03-2021;;828350;,
15-03-2021;;769750;,
22-03-2021;;1142100;,
29-03-2021;;688600;,
05-04-2021;;425600;,
12-04-2021;;1025400;,
19-04-2021;;357800;,
26-04-2021;;279700;,
